epoch,step,train/loss,train/loss_BEE:LU,train/loss_CRO:LU,train/loss_EWB:LU,train/loss_HCH:LU,train/loss_HZL:LU,train/loss_LAR:NE,train/loss_LLL:LU,train/loss_SLL:LU,train/loss_SPR:NE,train/mae,train/mae_BEE:LU,train/mae_CRO:LU,train/mae_EWB:LU,train/mae_HCH:LU,train/mae_HZL:LU,train/mae_LAR:NE,train/mae_LLL:LU,train/mae_SLL:LU,train/mae_SPR:NE,train/r2,train/r2_BEE:LU,train/r2_CRO:LU,train/r2_EWB:LU,train/r2_HCH:LU,train/r2_HZL:LU,train/r2_LAR:NE,train/r2_LLL:LU,train/r2_SLL:LU,train/r2_SPR:NE,train/rmse,train/rmse_BEE:LU,train/rmse_CRO:LU,train/rmse_EWB:LU,train/rmse_HCH:LU,train/rmse_HZL:LU,train/rmse_LAR:NE,train/rmse_LLL:LU,train/rmse_SLL:LU,train/rmse_SPR:NE,val/loss,val/loss_BEE:LU,val/loss_CRO:LU,val/loss_EWB:LU,val/loss_HCH:LU,val/loss_HZL:LU,val/loss_LAR:NE,val/loss_LLL:LU,val/loss_SLL:LU,val/loss_SPR:NE,val/mae,val/mae_BEE:LU,val/mae_CRO:LU,val/mae_EWB:LU,val/mae_HCH:LU,val/mae_HZL:LU,val/mae_LAR:NE,val/mae_LLL:LU,val/mae_SLL:LU,val/mae_SPR:NE,val/r2,val/r2_BEE:LU,val/r2_CRO:LU,val/r2_EWB:LU,val/r2_HCH:LU,val/r2_HZL:LU,val/r2_LAR:NE,val/r2_LLL:LU,val/r2_SLL:LU,val/r2_SPR:NE,val/rmse,val/rmse_BEE:LU,val/rmse_CRO:LU,val/rmse_EWB:LU,val/rmse_HCH:LU,val/rmse_HZL:LU,val/rmse_LAR:NE,val/rmse_LLL:LU,val/rmse_SLL:LU,val/rmse_SPR:NE
0,4,0.7844558358192444,1.101366400718689,0.4362969398498535,0.8739502429962158,1.004564881324768,0.7077297568321228,0.5647314786911011,0.5985360741615295,0.8283883333206177,0.9445379972457886,10.013967514038086,9.277153968811035,7.808681488037109,11.492898941040039,12.544917106628418,10.554716110229492,10.140992164611816,7.280781269073486,8.588308334350586,12.437260627746582,,,,,,,,,,,12.08664608001709,11.617916107177734,9.517058372497559,12.995657920837402,14.341303825378418,13.633569717407227,12.296789169311523,9.124391555786133,10.44817066192627,14.804948806762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,0.8324815034866333,1.107298493385315,0.26067548990249634,0.05765005946159363,1.2922632694244385,0.3782758414745331,1.0058228969573975,1.0641852617263794,1.313098430633545,1.0130641460418701,8.882190704345703,9.13762092590332,6.052633762359619,3.1863696575164795,10.8947114944458,8.313872337341309,12.617040634155273,7.551217555999756,10.654772758483887,11.53148078918457,,,,,,,,,,,11.737873077392578,11.649161338806152,7.356339454650879,3.3377573490142822,16.265790939331055,9.967362403869629,16.41086769104004,12.166546821594238,13.154426574707031,15.332596778869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,0.8254199624061584,0.7504079341888428,0.4143105149269104,1.0105268955230713,1.110856533050537,0.7077754139900208,0.7281373143196106,0.9238781929016113,1.1397148370742798,0.6431711316108704,9.118590354919434,7.856292247772217,7.263917446136475,9.900689125061035,9.7420015335083,10.149799346923828,10.192045211791992,6.933700084686279,9.976288795471191,10.052579879760742,,,,,,,,,,,12.36938190460205,9.589831352233887,9.274161338806152,13.974261283874512,15.080947875976562,13.634010314941406,13.962958335876465,11.336162567138672,12.255227088928223,12.21688461303711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0.8303008675575256,1.5555180311203003,0.2444746047258377,0.4392290711402893,1.460849404335022,1.0676559209823608,1.0907810926437378,0.17183411121368408,0.47095298767089844,0.9714125990867615,10.27005672454834,11.586039543151855,5.798113822937012,8.400077819824219,14.490836143493652,13.250825881958008,12.691777229309082,4.328799247741699,7.385066509246826,14.49897289276123,,,,,,,,,,,12.11716079711914,13.807015419006348,7.124075889587402,9.212986946105957,17.29427719116211,16.74524688720703,17.089902877807617,4.888925552368164,7.877929210662842,15.014090538024902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,0.9972130656242371,1.320266842842102,1.0043957233428955,0.39599958062171936,1.1805591583251953,0.6080034971237183,0.7914983034133911,1.4014607667922974,0.9148151874542236,1.3579193353652954,10.221954345703125,9.164036750793457,11.514663696289062,6.65986442565918,12.501351356506348,9.173423767089844,11.467005729675293,10.624704360961914,7.9281535148620605,12.96438217163086,,,,,,,,,,,13.482488632202148,12.720176696777344,14.439896583557129,8.747868537902832,15.546889305114746,12.636561393737793,14.557799339294434,13.962050437927246,10.979686737060547,17.75146484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,0.6894316077232361,0.5493765473365784,0.36538395285606384,0.5656084418296814,1.0850034952163696,0.6643152832984924,0.5334285497665405,0.475947767496109,1.1291453838348389,0.8366750478744507,8.803549766540527,6.99608039855957,6.508123397827148,6.735151767730713,11.68440055847168,10.318116188049316,10.073432922363281,5.4101080894470215,9.149104118347168,12.357436180114746,,,,,,,,,,,11.300284385681152,8.205353736877441,8.70936393737793,10.454730033874512,14.904424667358398,13.208788871765137,11.951128959655762,8.136513710021973,12.19826889038086,13.93399429321289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,0.7254986763000488,0.6458407044410706,0.4184788465499878,0.4470502436161041,0.7809257507324219,1.014790654182434,0.4266183078289032,1.6928342580795288,0.7682704925537109,0.33467915654182434,9.25949478149414,7.4611101150512695,6.704554557800293,7.77176570892334,11.049304962158203,13.540006637573242,8.269615173339844,12.318987846374512,9.000946044921875,7.219168186187744,,,,,,,,,,,11.265494346618652,8.896618843078613,9.320696830749512,9.29465103149414,12.644584655761719,16.32541275024414,10.687854766845703,15.34496784210205,10.061908721923828,8.812751770019531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,1.376722812652588,1.2059048414230347,2.180851459503174,0.7108551263809204,1.3637375831604004,1.3479524850845337,0.8095681667327881,2.0983188152313232,2.0434353351593018,0.6298790574073792,12.19841480255127,9.898795127868652,16.534381866455078,10.233348846435547,11.434052467346191,15.310572624206543,11.977679252624512,13.34723949432373,12.238862991333008,8.810809135437012,,,,,,,,,,,15.665217399597168,12.156786918640137,21.277700424194336,11.720480918884277,16.70956039428711,18.815387725830078,14.723040580749512,17.08419418334961,16.409818649291992,12.089984893798828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,44,1.614258885383606,1.6067596673965454,1.6144555807113647,1.753056526184082,1.6384544372558594,1.6380139589309692,1.0923339128494263,2.617438316345215,1.6293940544128418,0.9384230375289917,14.26378345489502,11.342504501342773,14.136222839355469,14.164957046508789,15.386309623718262,16.978727340698242,13.43249797821045,16.377952575683594,13.236246109008789,13.318628311157227,,,,,,,,,,,17.26616096496582,14.032588005065918,18.307315826416016,18.40572166442871,18.31541633605957,20.74123764038086,17.102062225341797,19.0808162689209,14.65333080291748,14.75694751739502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0.4664691388607025,0.4778733253479004,0.35655373334884644,0.3129771947860718,0.6040862202644348,0.7010225057601929,0.2570992410182953,0.4024207592010498,0.5641689300537109,0.5220203995704651,7.708580017089844,6.015390396118164,7.520033359527588,6.566470623016357,9.066157341003418,10.965433120727539,7.373628616333008,6.16946268081665,7.019637107849121,8.681010246276855,,,,,,,,,,,9.347838401794434,7.652770042419434,8.603480339050293,7.776984691619873,11.121135711669922,13.56881332397461,8.297002792358398,7.481675624847412,8.622394561767578,11.006290435791016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,54,0.6393255591392517,0.7068742513656616,0.2712169587612152,0.5014500021934509,0.9832810759544373,0.9771863222122192,0.4872420132160187,0.5424562096595764,0.5106188058853149,0.7736042737960815,8.603774070739746,7.403282642364502,4.902358531951904,6.988854885101318,11.2370023727417,12.459238052368164,8.915963172912598,7.211461544036865,6.935287952423096,11.38051986694336,,,,,,,,,,,10.95262622833252,9.307507514953613,7.503607749938965,9.8439359664917,14.188565254211426,16.02007484436035,11.422026634216309,8.686424255371094,8.202980995178223,13.398514747619629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
