epoch,step,test/loss,test/loss_BEE:LU,test/loss_CRO:LU,test/loss_EWB:LU,test/loss_HCH:LU,test/loss_HZL:LU,test/loss_LAR:NE,test/loss_LLL:LU,test/loss_SLL:LU,test/loss_SPR:NE,test/mae,test/mae_BEE:LU,test/mae_CRO:LU,test/mae_EWB:LU,test/mae_HCH:LU,test/mae_HZL:LU,test/mae_LAR:NE,test/mae_LLL:LU,test/mae_SLL:LU,test/mae_SPR:NE,test/r2,test/r2_BEE:LU,test/r2_CRO:LU,test/r2_EWB:LU,test/r2_HCH:LU,test/r2_HZL:LU,test/r2_LAR:NE,test/r2_LLL:LU,test/r2_SLL:LU,test/r2_SPR:NE,test/rmse,test/rmse_BEE:LU,test/rmse_CRO:LU,test/rmse_EWB:LU,test/rmse_HCH:LU,test/rmse_HZL:LU,test/rmse_LAR:NE,test/rmse_LLL:LU,test/rmse_SLL:LU,test/rmse_SPR:NE,train/loss,train/loss_BEE:LU,train/loss_CRO:LU,train/loss_EWB:LU,train/loss_HCH:LU,train/loss_HZL:LU,train/loss_LAR:NE,train/loss_LLL:LU,train/loss_SLL:LU,train/loss_SPR:NE,train/mae,train/mae_BEE:LU,train/mae_CRO:LU,train/mae_EWB:LU,train/mae_HCH:LU,train/mae_HZL:LU,train/mae_LAR:NE,train/mae_LLL:LU,train/mae_SLL:LU,train/mae_SPR:NE,train/r2,train/r2_BEE:LU,train/r2_CRO:LU,train/r2_EWB:LU,train/r2_HCH:LU,train/r2_HZL:LU,train/r2_LAR:NE,train/r2_LLL:LU,train/r2_SLL:LU,train/r2_SPR:NE,train/rmse,train/rmse_BEE:LU,train/rmse_CRO:LU,train/rmse_EWB:LU,train/rmse_HCH:LU,train/rmse_HZL:LU,train/rmse_LAR:NE,train/rmse_LLL:LU,train/rmse_SLL:LU,train/rmse_SPR:NE,val/loss,val/loss_BEE:LU,val/loss_CRO:LU,val/loss_EWB:LU,val/loss_HCH:LU,val/loss_HZL:LU,val/loss_LAR:NE,val/loss_LLL:LU,val/loss_SLL:LU,val/loss_SPR:NE,val/mae,val/mae_BEE:LU,val/mae_CRO:LU,val/mae_EWB:LU,val/mae_HCH:LU,val/mae_HZL:LU,val/mae_LAR:NE,val/mae_LLL:LU,val/mae_SLL:LU,val/mae_SPR:NE,val/r2,val/r2_BEE:LU,val/r2_CRO:LU,val/r2_EWB:LU,val/r2_HCH:LU,val/r2_HZL:LU,val/r2_LAR:NE,val/r2_LLL:LU,val/r2_SLL:LU,val/r2_SPR:NE,val/rmse,val/rmse_BEE:LU,val/rmse_CRO:LU,val/rmse_EWB:LU,val/rmse_HCH:LU,val/rmse_HZL:LU,val/rmse_LAR:NE,val/rmse_LLL:LU,val/rmse_SLL:LU,val/rmse_SPR:NE
0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5150786638259888,1.3045120239257812,2.634976387023926,3.2300469875335693,1.303593397140503,1.1804711818695068,0.9983829259872437,1.0091981887817383,0.31487178802490234,1.6596550941467285,13.357731819152832,9.835357666015625,20.778696060180664,18.395214080810547,13.309124946594238,13.236292839050293,13.75069522857666,10.268495559692383,4.0496826171875,16.59603500366211,,,,,,,,,,,16.58060646057129,12.644054412841797,23.38837432861328,24.98384666442871,16.33694076538086,17.607738494873047,16.350061416625977,11.848052024841309,6.441546440124512,19.624839782714844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49154260754585266,0.5738371014595032,0.3042692244052887,0.21492090821266174,0.8328406810760498,0.41549137234687805,1.0157749652862549,0.04624568670988083,0.33784395456314087,0.6826593279838562,8.083260536193848,7.594173908233643,7.822167873382568,6.418781280517578,10.026726722717285,9.510591506958008,14.392407417297363,2.3047683238983154,4.934314250946045,9.745413780212402,,,,,,,,,,,9.396601676940918,8.386033058166504,7.947685241699219,6.444574356079102,13.05811882019043,10.446165084838867,16.49185562133789,2.5362627506256104,6.672388553619385,12.586332321166992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9395495653152466,0.48691415786743164,0.5597689151763916,0.5009729862213135,1.4814093112945557,1.3247467279434204,0.8707727193832397,1.0654845237731934,1.8679313659667969,0.2979450821876526,10.262402534484863,6.034272193908691,8.647664070129395,9.074859619140625,13.461127281188965,13.751664161682129,12.562726020812988,9.030542373657227,13.35611343383789,6.442649841308594,,,,,,,,,,,12.873340606689453,7.7248215675354,10.779932022094727,9.839251518249512,17.415550231933594,18.652725219726562,15.26944351196289,12.173971176147461,15.68930721282959,8.315058708190918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7990601658821106,0.5996229648590088,0.5827615261077881,0.47243866324424744,0.9749741554260254,0.6359027624130249,0.6586323976516724,0.9132421016693115,1.4815149307250977,0.8724514842033386,10.256048202514648,7.283533096313477,9.33063793182373,8.891596794128418,11.973573684692383,10.543489456176758,10.333348274230957,10.827608108520508,11.409883499145508,11.71076488494873,,,,,,,,,,,12.103339195251465,8.572380065917969,10.999098777770996,9.554932594299316,14.128504753112793,12.923233985900879,13.279824256896973,11.270721435546875,13.972570419311523,14.228785514831543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45183616876602173,0.5147497057914734,0.26726260781288147,0.3690723478794098,0.3448581099510193,0.5598981976509094,0.36735010147094727,0.4387299716472626,0.6171296238899231,0.5874747633934021,7.449863910675049,6.208395004272461,6.1437506675720215,6.3336944580078125,7.49011754989624,8.805022239685059,7.920526504516602,6.737966060638428,7.76010799407959,9.64919376373291,,,,,,,,,,,9.19879150390625,7.942556858062744,7.448704719543457,8.445213317871094,8.402719497680664,12.126358032226562,9.91769790649414,7.811912536621094,9.018026351928711,11.675938606262207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9685818552970886,1.0939210653305054,1.4562220573425293,1.4312156438827515,0.5845232009887695,0.7016280889511108,0.7576862573623657,1.195024013519287,0.8351145386695862,0.6619018912315369,10.90632438659668,10.22994327545166,14.600289344787598,15.32352352142334,8.01275634765625,10.819999694824219,10.568181037902832,10.75736141204834,7.818232536315918,10.026637077331543,,,,,,,,,,,13.347856521606445,11.578579902648926,17.38703155517578,16.63058090209961,10.939577102661133,13.574671745300293,14.243461608886719,12.892793655395508,10.490503311157227,12.393501281738281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6422868371009827,0.5964279174804688,1.1098664999008179,0.16382822394371033,0.9275073409080505,0.6343754529953003,0.6011942625045776,0.7329824566841125,0.49057018756866455,0.5238288640975952,8.579551696777344,6.397295951843262,12.360819816589355,3.6653103828430176,9.404519081115723,10.105246543884277,10.12708568572998,9.756937026977539,6.407649040222168,8.99110221862793,,,,,,,,,,,10.877090454101562,8.549510955810547,15.1791353225708,5.626642227172852,13.780288696289062,12.907705307006836,12.687562942504883,10.097305297851562,8.040329933166504,11.025338172912598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3700675964355469,0.4061861038208008,0.1324944794178009,0.2163221687078476,0.4304511547088623,0.44440731406211853,0.5105898380279541,0.6468688249588013,0.09362871944904327,0.44965967535972595,6.139665603637695,5.143544673919678,4.882105827331543,5.17126989364624,6.649726867675781,7.126184940338135,9.95125675201416,6.130552291870117,2.966154098510742,7.236191272735596,,,,,,,,,,,8.206958770751953,7.0554518699646,5.2445783615112305,6.465548992156982,9.387750625610352,10.803548812866211,11.692486763000488,9.485644340515137,3.5125930309295654,10.215019226074219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45083120465278625,0.961542010307312,0.19209949672222137,0.3305474817752838,0.49285203218460083,0.40299031138420105,0.5800846219062805,0.49957185983657837,0.3241828382015228,0.2736101448535919,7.24743127822876,8.862723350524902,5.032437324523926,7.545803546905518,8.31983470916748,8.035099029541016,9.180846214294434,6.9308576583862305,4.908930778503418,6.41034460067749,,,,,,,,,,,8.977657318115234,10.855414390563965,6.315020561218262,7.992300510406494,10.045185089111328,10.28781509399414,12.462824821472168,8.335999488830566,6.536093711853027,7.968256950378418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39877885580062866,0.5397015810012817,0.3583478331565857,0.10280791670084,0.18143990635871887,0.9380406737327576,0.2624596357345581,0.12114708125591278,0.6004837155342102,0.4845815896987915,6.747692584991455,6.272922992706299,6.323410511016846,3.7937119007110596,5.017175674438477,10.596115112304688,7.2508392333984375,3.628960609436035,8.618481636047363,9.22761344909668,,,,,,,,,,,8.33265209197998,8.132781028747559,8.62509822845459,4.45726203918457,6.094892501831055,15.695918083190918,8.383049964904785,4.1050190925598145,8.895572662353516,10.604267120361328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
